distance,accuracy,gender
290.3,59.5,2
302.1,54.7,2
287.1,62.4,2
282.7,65.4,2
299.1,52.8,2
300.2,51.1,2
300.9,58.3,2
279.5,73.9,2
287.8,67.6,2
284.7,67.2,2
296.7,60,2
283.3,59.4,2
284,72.2,2
292,62.1,2
282.6,66.5,2
287.9,60.9,2
279.2,67.3,2
291.7,64.8,2
289.9,58.1,2
289.8,61.7,2
298.8,56.4,2
280.8,60.5,2
294.9,57.5,2
287.5,61.8,2
282.7,56,2
277.7,72.5,2
270.5,71.7,2
285.2,66,2
315.1,55.2,2
281.9,67.6,2
293.3,58.2,2
286,59.9,2
285.6,58.2,2
289.9,65.7,2
277.5,59,2
293.6,56.8,2
301.1,65.4,2
300.8,63.4,2
287.4,67.3,2
281.8,72.6,2
277.4,63.1,2
279.1,66.5,2
287.4,66.4,2
280.9,62.3,2
287.8,57.2,2
261.4,69.2,2
272.6,69.4,2
291.3,65.3,2
294.2,52.8,2
285.5,49,2
287.9,61.1,2
282.2,65.6,2
301.3,58.2,2
276.2,61.7,2
281.6,68.1,2
275.5,61.2,2
309.7,53.1,2
287.7,56.4,2
291.6,56.9,2
284.1,65,2
299.6,57.5,2
282.7,60,2
271.5,72,2
292.1,58.2,2
295,59.4,2
274.9,69,2
273.6,68.7,2
299.9,60.1,2
279.9,74,2
289.9,66,2
283.6,59.8,2
310.3,52.4,2
291.7,65.6,2
284.2,63.2,2
295,53.5,2
298.6,55.1,2
297.4,60.4,2
299.7,67.7,2
284.4,69.7,2
286.4,72.4,2
285.9,66.9,2
297.6,54.3,2
272.5,62,2
277,66.2,2
287.6,60.9,2
280.4,69.4,2
280,63.7,2
295.4,52.8,2
274.4,68.8,2
286.5,73.1,2
287.7,65.2,2
291.5,65.9,2
279,69.4,2
299,65.2,2
290.1,69.1,2
288.9,67.9,2
288.8,68.2,2
283.2,61,2
293.2,58.4,2
285.3,67.3,2
284.1,65.7,2
281.4,67.7,2
286.1,61.4,2
284.9,62.3,2
284.8,68.1,2
296,62,2
282.9,71.8,2
280.9,67.8,2
291.2,62,2
292.8,62.2,2
291,61.9,2
285.7,62.4,2
283.9,62.9,2
298.4,61.5,2
285.1,65.3,2
286.1,60.1,2
283.1,65.4,2
289.4,58.3,2
284.6,70.7,2
296.6,62.3,2
295.9,64.9,2
295.2,62.8,2
293.9,54.5,2
275,65.5,2
286.8,69.5,2
291.1,64.4,2
284.8,62.5,2
283.7,59.5,2
295.4,66.9,2
291.8,62.7,2
274.9,72.3,2
302.9,61.2,2
272.1,80.4,2
274.9,74.9,2
296.3,59.4,2
286.2,58.8,2
294.2,63.3,2
284.1,66.5,2
299.2,62.4,2
275.4,71,2
273.2,70.9,2
281.6,65.9,2
295.7,55.3,2
287.1,56.8,2
287.7,66.9,2
296.7,53.7,2
282.2,64.2,2
291.7,65.6,2
281.6,73.4,2
311,56.2,2
278.6,64.7,2
288,65.7,2
276.7,72.1,2
292,62,2
286.4,69.9,2
292.7,65.7,2
294.2,62.9,2
278.6,59.6,2
283.1,69.2,2
284.1,66,2
278.6,73.6,2
291.1,60.4,2
294.6,59.4,2
274.3,70.5,2
274,57.1,2
283.8,62.7,2
272.7,66.9,2
303.2,58.3,2
282,70.4,2
281.9,61,2
287,59.9,2
293.5,63.8,2
283.6,56.3,2
296.9,55.3,2
290.9,58.2,2
303,58.1,2
292.8,61.1,2
281.1,65,2
293,61.1,2
284,66.5,2
279.8,66.7,2
292.9,65.4,2
284,66.9,2
282,64.5,2
280.6,64,2
287.7,63.4,2
287.7,63.4,2
298.3,59.5,2
299.6,53.4,2
291.3,62.5,2
295.2,61.4,2
288,62.4,2
297.8,59.5,2
286,62.6,2
285.3,66.2,2
286.9,63.4,2
275.1,73.7,2
